Sample Id,Site,Sample Start Date,Date,Start Time,Time,Analyte,Status,Final Result,Units,Water Treatment Plant,WTP Group,SPDES Number
G-1905504-02,PJ9,1/1/2020,1/2/2020,7:00,7:00,"Copper, Total",Done,25,µg/L,Port Jervis,City Owned - Effluent,NY0026522
G-1905504-02,PJ9,1/1/2020,1/2/2020,7:00,7:00,"Nickel, Total",Done,1.9,µg/L,Port Jervis,City Owned - Effluent,NY0026522
G-1905504-02,PJ9,1/1/2020,1/2/2020,7:00,7:00,Sc,Done,105,%,Port Jervis,City Owned - Effluent,NY0026522
G-1905504-02,PJ9,1/1/2020,1/2/2020,7:00,7:00,"Zinc, Total",Done,128,µg/L,Port Jervis,City Owned - Effluent,NY0026522
E-1905678-01,Kent Manor Sewer Corporation,,1/2/2020,,11:12,"Solids, Settleable",Done,<0.1,mL/L,,Non-City Owned,NY0207322
E-1905678-01,Kent Manor Sewer Corporation,,1/2/2020,,11:12,Ammonia (as NH3),Failure,Error,mg/L,,Non-City Owned,NY0207322
E-1905678-01A,Kent Manor Sewer Corporation,,1/2/2020,,11:12,Ammonia (as NH3),Done,<0.30,mg/L,,Non-City Owned,NY0207322
E-1905678-02,THE FAIRWAYS (HILL&DALE),,1/2/2020,,10:46,"Solids, Settleable",Done,<0.1,mL/L,,Non-City Owned,NY0165719
E-1905678-02,THE FAIRWAYS (HILL&DALE),,1/2/2020,,10:46,Ammonia (as NH3),Failure,Error,mg/L,,Non-City Owned,NY0165719
E-1905678-02B,THE FAIRWAYS (HILL&DALE),,1/2/2020,,10:46,Ammonia (as NH3),Warning,<0.30,mg/L,,Non-City Owned,NY0165719
E-1905678-04,CARMEL STP,,1/2/2020,,10:18,"Solids, Settleable",Done,<0.1,mL/L,,Non-City Owned,NY0031356
E-1905678-04,CARMEL STP,,1/2/2020,,10:18,Ammonia (as NH3),Failure,Error,mg/L,,Non-City Owned,NY0031356
E-1905678-04A,CARMEL STP,,1/2/2020,,10:18,Ammonia (as NH3),Done,<0.30,mg/L,,Non-City Owned,NY0031356
G-1905504-02,PJ9,1/1/2020,1/2/2020,7:00,7:00,Nitrate/Nitrite (as N),Done,8.46,mg/L,Port Jervis,City Owned - Effluent,NY0026522
K-2000125-01,Windham WTP,,1/6/2020,,,Turbidity,Cancel,Cancel,NTU,Windham WTP,Non-City Owned,NY0262935
K-1905513-02,STE,1/7/2020,1/7/2020,9:00,15:00,"Phosphorus, Total (as P)",Done,11,µg/L,Tannersville,City Owned - Effluent,NY0026573
E-2000023-01,MOUNT EBO,,1/7/2020,,7:50,"Phosphorus, Total (as P)",Cancel,Cancel,µg/L,,Non-City Owned,NY0148946
E-2000023-02,REST AREA I-684,,1/7/2020,,11:36,"Phosphorus, Total (as P)",Done,69,µg/L,,Non-City Owned,NY0035955
E-2000023-03,TRACY TERTIARY TREATMENT PLANT,,1/7/2020,,12:05,"Phosphorus, Total (as P)",Done,40,µg/L,,Non-City Owned,NY0214418
E-2000022-01,BLACKBERRY HILL,,1/7/2020,,10:36,"Phosphorus, Total (as P)",Done,22,µg/L,,Non-City Owned,NY0062570
E-2000022-02,BREWSTER HEIGHTS,,1/7/2020,,,"Phosphorus, Total (as P)",Cancel,Cancel,µg/L,,Non-City Owned,NY0110353
E-2000022-03,BREWSTER STP,,1/7/2020,,9:48,"Phosphorus, Total (as P)",Done,106,µg/L,,Non-City Owned,NY0026581
K-1905513-05,SGE,1/7/2020,1/7/2020,9:00,15:00,"Phosphorus, Total (as P)",Done,8,µg/L,Grand Gorge,City Owned - Effluent,NY0026565
K-1905513-10,MSC,1/7/2020,1/7/2020,9:00,15:00,"Phosphorus, Total (as P)",Done,50,µg/L,Margaretville,City Owned - Effluent,NY0026531
K-1905513-12,EPE,1/7/2020,1/7/2020,9:00,15:00,"Phosphorus, Total (as P)",Done,8,µg/L,Pine Hill,City Owned - Effluent,NY0026557
G-2000054-06,PCE,,1/7/2020,,,Turbidity,Cancel,Cancel,NTU,Pepacton,Non-City Owned,NY0104957
G-2000054-06,PCE,,1/7/2020,,,"Phosphorus, Total (as P)",Cancel,Cancel,µg/L,Pepacton,Non-City Owned,NY0104957
K-1905513-01,STR,1/7/2020,1/7/2020,9:00,15:00,CBOD,Done,67.2,mg/L,Tannersville,City Owned - Influent,NY0026573
E-2000023-01,MOUNT EBO,,1/7/2020,,7:50,Dissolved Oxygen,Cancel,Cancel,mg/L,,Non-City Owned,NY0148946
E-2000023-01,MOUNT EBO,,1/7/2020,,7:50,pH,Cancel,Cancel,,,Non-City Owned,NY0148946
E-2000023-01,MOUNT EBO,,1/7/2020,,7:50,Temperature,Cancel,Cancel,C,,Non-City Owned,NY0148946
E-2000023-01,MOUNT EBO,,1/7/2020,,7:50,"Coliform, Fecal",Cancel,Cancel,FC/100mL,,Non-City Owned,NY0148946
E-2000023-01,MOUNT EBO,,1/7/2020,,7:50,CBOD,Cancel,Cancel,mg/L,,Non-City Owned,NY0148946
E-2000023-02,REST AREA I-684,,1/7/2020,,11:36,Dissolved Oxygen,Done,10.2,mg/L,,Non-City Owned,NY0035955
E-2000023-02,REST AREA I-684,,1/7/2020,,11:36,pH,Done,7.94,,,Non-City Owned,NY0035955
E-2000023-02,REST AREA I-684,,1/7/2020,,11:36,Temperature,Warning,13,C,,Non-City Owned,NY0035955
E-2000023-02,REST AREA I-684,,1/7/2020,,11:36,"Coliform, Fecal",Done,E1,FC/100mL,,Non-City Owned,NY0035955
E-2000023-02,REST AREA I-684,,1/7/2020,,11:36,CBOD,Done,<3.0,mg/L,,Non-City Owned,NY0035955
E-2000023-03,TRACY TERTIARY TREATMENT PLANT,,1/7/2020,,12:05,Dissolved Oxygen,Done,10.7,mg/L,,Non-City Owned,NY0214418
E-2000023-03,TRACY TERTIARY TREATMENT PLANT,,1/7/2020,,12:05,pH,Done,7.52,,,Non-City Owned,NY0214418
E-2000023-03,TRACY TERTIARY TREATMENT PLANT,,1/7/2020,,12:05,Temperature,Done,11.9,C,,Non-City Owned,NY0214418
E-2000023-03,TRACY TERTIARY TREATMENT PLANT,,1/7/2020,,12:05,"Coliform, Fecal",Done,<1,FC/100mL,,Non-City Owned,NY0214418
E-2000023-03,TRACY TERTIARY TREATMENT PLANT,,1/7/2020,,12:05,CBOD,Done,<3.0,mg/L,,Non-City Owned,NY0214418
E-2000022-01,BLACKBERRY HILL,,1/7/2020,,10:36,Dissolved Oxygen,Done,10.3,mg/L,,Non-City Owned,NY0062570
E-2000022-01,BLACKBERRY HILL,,1/7/2020,,10:36,pH,Done,7.23,,,Non-City Owned,NY0062570
E-2000022-01,BLACKBERRY HILL,,1/7/2020,,10:36,Temperature,Done,11.5,C,,Non-City Owned,NY0062570
E-2000022-01,BLACKBERRY HILL,,1/7/2020,,10:36,"Coliform, Fecal",Done,<1,FC/100mL,,Non-City Owned,NY0062570
E-2000022-01,BLACKBERRY HILL,,1/7/2020,,10:36,CBOD,Done,<3.0,mg/L,,Non-City Owned,NY0062570
E-2000022-02,BREWSTER HEIGHTS,,1/7/2020,,,Dissolved Oxygen,Cancel,Cancel,mg/L,,Non-City Owned,NY0110353
E-2000022-02,BREWSTER HEIGHTS,,1/7/2020,,,pH,Cancel,Cancel,,,Non-City Owned,NY0110353
E-2000022-02,BREWSTER HEIGHTS,,1/7/2020,,,Temperature,Cancel,Cancel,C,,Non-City Owned,NY0110353
E-2000022-02,BREWSTER HEIGHTS,,1/7/2020,,,"Coliform, Fecal",Cancel,Cancel,FC/100mL,,Non-City Owned,NY0110353
E-2000022-02,BREWSTER HEIGHTS,,1/7/2020,,,CBOD,Cancel,Cancel,mg/L,,Non-City Owned,NY0110353
E-2000022-03,BREWSTER STP,,1/7/2020,,9:48,Dissolved Oxygen,Done,10.2,mg/L,,Non-City Owned,NY0026581
E-2000022-03,BREWSTER STP,,1/7/2020,,9:48,pH,Warning,6.96,,,Non-City Owned,NY0026581
E-2000022-03,BREWSTER STP,,1/7/2020,,9:48,Temperature,Warning,12,C,,Non-City Owned,NY0026581
E-2000022-03,BREWSTER STP,,1/7/2020,,9:48,"Coliform, Fecal",Done,<1,FC/100mL,,Non-City Owned,NY0026581
E-2000022-03,BREWSTER STP,,1/7/2020,,9:48,CBOD,Done,3.9,mg/L,,Non-City Owned,NY0026581
E-2000022-03,BREWSTER STP,,1/7/2020,,9:48,Total Kjeldahl Nitrogen,Done,1.2,mg/L,,Non-City Owned,NY0026581
K-1905513-02,STE,1/7/2020,1/7/2020,9:00,15:00,CBOD,Done,<3.0,mg/L,Tannersville,City Owned - Effluent,NY0026573
K-1905513-04,SGR,1/7/2020,1/7/2020,9:00,15:00,CBOD,Done,44.3,mg/L,Grand Gorge,City Owned - Influent,NY0026565
K-1905513-05,SGE,1/7/2020,1/7/2020,9:00,15:00,CBOD,Done,<3.0,mg/L,Grand Gorge,City Owned - Effluent,NY0026565
K-1905513-07,EPR,1/7/2020,1/7/2020,9:00,15:00,BOD,Done,61.8,mg/L,Pine Hill,City Owned - Influent,NY0026557
K-1905513-12,EPE,1/7/2020,1/7/2020,9:00,15:00,BOD,Done,<3.0,mg/L,Pine Hill,City Owned - Effluent,NY0026557
K-1905513-09,MSR,1/7/2020,1/7/2020,9:00,15:00,CBOD,Done,84.4,mg/L,Margaretville,City Owned - Influent,NY0026531
K-1905513-10,MSC,1/7/2020,1/7/2020,9:00,15:00,CBOD,Done,<3.0,mg/L,Margaretville,City Owned - Effluent,NY0026531
G-2000054-06,PCE,,1/7/2020,,,Dissolved Oxygen,Cancel,Cancel,mg/L,Pepacton,Non-City Owned,NY0104957
G-2000054-06,PCE,,1/7/2020,,,pH,Cancel,Cancel,,Pepacton,Non-City Owned,NY0104957
G-2000054-06,PCE,,1/7/2020,,,Temperature,Cancel,Cancel,C,Pepacton,Non-City Owned,NY0104957
G-2000054-06,PCE,,1/7/2020,,,"Coliform, Fecal",Cancel,Cancel,FC/100mL,Pepacton,Non-City Owned,NY0104957
G-2000054-06,PCE,,1/7/2020,,,CBOD,Cancel,Cancel,mg/L,Pepacton,Non-City Owned,NY0104957
K-1905513-02,STE,1/7/2020,1/7/2020,9:00,15:00,Ammonia (as NH3),Done,<0.20,mg/L,Tannersville,City Owned - Effluent,NY0026573
K-1905513-02,STE,1/7/2020,1/7/2020,9:00,15:00,Soluble Reactive Phosphorus (as P),Warning,8,µg/L,Tannersville,City Owned - Effluent,NY0026573
K-1905513-05,SGE,1/7/2020,1/7/2020,9:00,15:00,Ammonia (as NH3),Done,<0.20,mg/L,Grand Gorge,City Owned - Effluent,NY0026565
K-1905513-05,SGE,1/7/2020,1/7/2020,9:00,15:00,Soluble Reactive Phosphorus (as P),Failure,Error,µg/L,Grand Gorge,City Owned - Effluent,NY0026565
K-1905513-05A,SGE,1/7/2020,1/7/2020,9:00,15:00,Soluble Reactive Phosphorus (as P),Warning,5,µg/L,Grand Gorge,City Owned - Effluent,NY0026565
K-1905513-10,MSC,1/7/2020,1/7/2020,9:00,15:00,Ammonia (as NH3),Done,<0.20,mg/L,Margaretville,City Owned - Effluent,NY0026531
K-1905513-12,EPE,1/7/2020,1/7/2020,9:00,15:00,Ammonia (as NH3),Done,<0.20,mg/L,Pine Hill,City Owned - Effluent,NY0026557
E-2000023-01,MOUNT EBO,,1/7/2020,,7:50,"Solids, Settleable",Cancel,Cancel,mL/L,,Non-City Owned,NY0148946
E-2000023-01,MOUNT EBO,,1/7/2020,,7:50,Ammonia (as NH3),Cancel,Cancel,mg/L,,Non-City Owned,NY0148946
E-2000023-02,REST AREA I-684,,1/7/2020,,11:36,"Solids, Settleable",Done,<0.1,mL/L,,Non-City Owned,NY0035955
E-2000023-02,REST AREA I-684,,1/7/2020,,11:36,Ammonia (as NH3),Done,<0.30,mg/L,,Non-City Owned,NY0035955
E-2000023-03,TRACY TERTIARY TREATMENT PLANT,,1/7/2020,,12:05,"Solids, Settleable",Done,0.1,mL/L,,Non-City Owned,NY0214418
E-2000023-03,TRACY TERTIARY TREATMENT PLANT,,1/7/2020,,12:05,Ammonia (as NH3),Done,<0.30,mg/L,,Non-City Owned,NY0214418
E-2000022-01,BLACKBERRY HILL,,1/7/2020,,10:36,"Solids, Settleable",Done,<0.1,mL/L,,Non-City Owned,NY0062570
E-2000022-01,BLACKBERRY HILL,,1/7/2020,,10:36,Ammonia (as NH3),Done,<0.30,mg/L,,Non-City Owned,NY0062570
E-2000022-02,BREWSTER HEIGHTS,,1/7/2020,,,"Solids, Settleable",Cancel,Cancel,mL/L,,Non-City Owned,NY0110353
E-2000022-02,BREWSTER HEIGHTS,,1/7/2020,,,Ammonia (as NH3),Cancel,Cancel,mg/L,,Non-City Owned,NY0110353
E-2000022-03,BREWSTER STP,,1/7/2020,,9:48,"Solids, Settleable",Done,<0.1,mL/L,,Non-City Owned,NY0026581
E-2000022-03,BREWSTER STP,,1/7/2020,,9:48,Ammonia (as NH3),Done,<0.30,mg/L,,Non-City Owned,NY0026581
G-2000054-06,PCE,,1/7/2020,,,"Solids, Settleable",Cancel,Cancel,mL/L,Pepacton,Non-City Owned,NY0104957
G-2000054-06,PCE,,1/7/2020,,,Ammonia (as NH3),Cancel,Cancel,mg/L,Pepacton,Non-City Owned,NY0104957
E-2000023-01,MOUNT EBO,,1/7/2020,,7:50,"Solids, Total Suspended",Cancel,Cancel,mg/L,,Non-City Owned,NY0148946
E-2000023-02,REST AREA I-684,,1/7/2020,,11:36,"Solids, Total Suspended",Done,<1.0,mg/L,,Non-City Owned,NY0035955
E-2000023-02,REST AREA I-684,,1/7/2020,,11:36,"Chlorine Residual, Total",Done,0.14,mg/L,,Non-City Owned,NY0035955
E-2000023-03,TRACY TERTIARY TREATMENT PLANT,,1/7/2020,,12:05,"Solids, Total Suspended",Done,<1.0,mg/L,,Non-City Owned,NY0214418
E-2000022-01,BLACKBERRY HILL,,1/7/2020,,10:36,"Solids, Total Suspended",Done,<1.0,mg/L,,Non-City Owned,NY0062570
E-2000022-02,BREWSTER HEIGHTS,,1/7/2020,,,"Solids, Total Suspended",Cancel,Cancel,mg/L,,Non-City Owned,NY0110353
E-2000022-03,BREWSTER STP,,1/7/2020,,9:48,"Solids, Total Suspended",Done,<1.0,mg/L,,Non-City Owned,NY0026581
E-2000022-03,BREWSTER STP,,1/7/2020,,9:48,"Chlorine Residual, Total",Done,<0.05,mg/L,,Non-City Owned,NY0026581
K-1905513-01,STR,1/7/2020,1/7/2020,9:00,15:00,"Solids, Total Suspended",Done,81,mg/L,Tannersville,City Owned - Influent,NY0026573
K-1905513-02,STE,1/7/2020,1/7/2020,9:00,15:00,"Solids, Total Suspended",Done,<1.0,mg/L,Tannersville,City Owned - Effluent,NY0026573
K-1905513-04,SGR,1/7/2020,1/7/2020,9:00,15:00,"Solids, Total Suspended",Done,72,mg/L,Grand Gorge,City Owned - Influent,NY0026565
K-1905513-05,SGE,1/7/2020,1/7/2020,9:00,15:00,"Solids, Total Suspended",Done,<1.0,mg/L,Grand Gorge,City Owned - Effluent,NY0026565
K-1905513-07,EPR,1/7/2020,1/7/2020,9:00,15:00,"Solids, Total Suspended",Done,67,mg/L,Pine Hill,City Owned - Influent,NY0026557
K-1905513-09,MSR,1/7/2020,1/7/2020,9:00,15:00,"Solids, Total Suspended",Done,162,mg/L,Margaretville,City Owned - Influent,NY0026531
K-1905513-10,MSC,1/7/2020,1/7/2020,9:00,15:00,"Solids, Total Suspended",Done,<1.0,mg/L,Margaretville,City Owned - Effluent,NY0026531
K-1905513-12,EPE,1/7/2020,1/7/2020,9:00,15:00,"Solids, Total Suspended",Done,<1.1,mg/L,Pine Hill,City Owned - Effluent,NY0026557
G-2000054-06,PCE,,1/7/2020,,,"Solids, Total Suspended",Cancel,Cancel,mg/L,Pepacton,Non-City Owned,NY0104957
G-1905593-01,PJ1,1/7/2020,1/8/2020,7:00,7:00,"Solids, Total Suspended",Done,100,mg/L,Port Jervis,City Owned - Influent,NY0026522
G-1905593-02,PJ9,1/7/2020,1/8/2020,7:00,7:00,"Solids, Total Suspended",Done,9.6,mg/L,Port Jervis,City Owned - Effluent,NY0026522
G-2000054-02A,HTP,,1/8/2020,,10:04,"Copper, Total",Done,9.3,µg/L,HOBART,Non-City Owned,NY0029254
G-2000054-02A,HTP,,1/8/2020,,10:04,Sc,Done,103,%,HOBART,Non-City Owned,NY0029254
G-2000054-03,RTP,,1/8/2020,,12:07,"Solids, Total Suspended",Done,<1.0,mg/L,Pepacton,Non-City Owned,NY0099562
G-2000054-03,RTP,,1/8/2020,,12:07,"Chlorine Residual, Total",Done,<0.04,mg/L,Pepacton,Non-City Owned,NY0099562
G-2000054-04,DCD,,1/8/2020,,11:43,"Solids, Total Suspended",Done,1,mg/L,MOUNTAINSIDE FARMS,Non-City Owned,NY0084590
G-2000054-05,PFTP,,1/8/2020,,12:45,"Solids, Total Suspended",Done,<1.0,mg/L,Pepacton,Non-City Owned,NY0261521
G-2000054-05,PFTP,,1/8/2020,,12:45,"Chlorine Residual, Total",Done,<0.04,mg/L,Pepacton,Non-City Owned,NY0261521
K-2000051-02,Elka Park,,1/8/2020,,10:56,"Solids, Total Suspended",Done,<1.0,mg/L,Elka Park,Non-City Owned,NY0092991
K-2000051-03,Mt View TC,,1/8/2020,,9:25,"Solids, Total Suspended",Cancel,Cancel,mg/L,Mountain View,Non-City Owned,NY0263052
K-2000051-04,Hunter WTP,,1/8/2020,,10:08,"Solids, Total Suspended",Done,<1.0,mg/L,Hunter WTP,Non-City Owned,NY0241075
K-2000051-04,Hunter WTP,,1/8/2020,,10:08,"Chlorine Residual, Total",Done,<0.05,mg/L,Hunter WTP,Non-City Owned,NY0241075
G-1905721-01,RGR,1/8/2020,1/8/2020,8:00,14:04,"Solids, Total Suspended",Done,126,mg/L,Grahamsville,City Owned - Influent,NY0026549
G-1905721-02,RGC,1/8/2020,1/8/2020,8:00,14:04,"Solids, Total Suspended",Done,<1.0,mg/L,Grahamsville,City Owned - Effluent,NY0026549
G-2000054-01,STP,,1/8/2020,,10:59,"Solids, Total Suspended",Done,<1.0,mg/L,STAMFORD,Non-City Owned,NY0021555
G-2000054-01,STP,,1/8/2020,,10:59,"Chlorine Residual, Total",Done,<0.04,mg/L,STAMFORD,Non-City Owned,NY0021555
G-2000054-02,HTP,,1/8/2020,,10:04,"Solids, Total Suspended",Done,<1.0,mg/L,HOBART,Non-City Owned,NY0029254
G-2000054-02,HTP,,1/8/2020,,10:04,"Copper, Total",Failure,Error,µg/L,HOBART,Non-City Owned,NY0029254
G-2000054-02,HTP,,1/8/2020,,10:04,Sc,Done,103,%,HOBART,Non-City Owned,NY0029254
E-2000025-01,BEDFORD HILLS CORRECTIONAL FAC,,1/8/2020,,7:57,"Solids, Total Suspended",Warning,<1.0,mg/L,,Non-City Owned,NY0101885
E-2000025-02,BEDFORD PARK APARTMENTS,,1/8/2020,,9:06,"Solids, Total Suspended",Warning,696,mg/L,Bedford Park Apartments,Non-City Owned,NY0033596
E-2000025-02,BEDFORD PARK APARTMENTS,,1/8/2020,,9:06,"Chlorine Residual, Total",Warning,<0.05,mg/L,Bedford Park Apartments,Non-City Owned,NY0033596
E-2000025-03,BEDFORD PARK APARTMENTS CC,,1/8/2020,,9:01,"Chlorine Residual, Total",Warning,0.49,mg/L,Bedford Park Apartments,Non-City Owned,
E-2000025-05,Katonah Elementary School,,1/8/2020,,8:32,"Solids, Total Suspended",Warning,<1.0,mg/L,,Non-City Owned,NY0259861
E-2000025-05,Katonah Elementary School,,1/8/2020,,8:32,"Coliform, Total",Done,<10,TC/100mL,,Non-City Owned,NY0259861
E-2000025-05,Katonah Elementary School,,1/8/2020,,8:32,"Chlorine Residual, Total",Warning,<0.05,mg/L,,Non-City Owned,NY0259861
E-2000024-01,KENT NURSING HOME,,1/8/2020,,11:32,"Solids, Total Suspended",Warning,<1.0,mg/L,,Non-City Owned,NY0028924
E-2000024-01,KENT NURSING HOME,,1/8/2020,,11:32,"Chlorine Residual, Total",Done,0.54,mg/L,,Non-City Owned,NY0028924
E-2000024-03,CLEAR POOL CAMP,,1/8/2020,,,"Solids, Total Suspended",Cancel,Cancel,mg/L,,Non-City Owned,NY0098621
E-2000024-06,MAHOPAC STP EFF,1/8/2020,1/8/2020,4:00,10:00,"Solids, Total Suspended",Warning,<1.0,mg/L,Mahopac STP,City Owned - Effluent,NY0026590
E-2000024-07,MAHOPAC STP INF,1/8/2020,1/8/2020,4:00,10:00,"Solids, Total Suspended",Warning,1690,mg/L,Mahopac STP,City Owned - Influent,
K-2000051-02,Elka Park,,1/8/2020,,10:56,"Solids, Settleable",Done,<0.1,mL/L,Elka Park,Non-City Owned,NY0092991
K-2000051-02,Elka Park,,1/8/2020,,10:56,Ammonia (as NH3),Done,<0.20,mg/L,Elka Park,Non-City Owned,NY0092991
G-2000054-01,STP,,1/8/2020,,10:59,"Solids, Settleable",Done,<0.1,mL/L,STAMFORD,Non-City Owned,NY0021555
G-2000054-01,STP,,1/8/2020,,10:59,Ammonia (as NH3),Done,<0.20,mg/L,STAMFORD,Non-City Owned,NY0021555
G-2000054-02,HTP,,1/8/2020,,10:04,"Solids, Settleable",Done,<0.1,mL/L,HOBART,Non-City Owned,NY0029254
G-2000054-02,HTP,,1/8/2020,,10:04,Ammonia (as NH3),Done,<0.20,mg/L,HOBART,Non-City Owned,NY0029254
G-2000054-03,RTP,,1/8/2020,,12:07,"Solids, Settleable",Done,<0.1,mL/L,Pepacton,Non-City Owned,NY0099562
G-2000054-03,RTP,,1/8/2020,,12:07,Ammonia (as NH3),Done,<0.20,mg/L,Pepacton,Non-City Owned,NY0099562
G-2000054-05,PFTP,,1/8/2020,,12:45,"Solids, Settleable",Done,<0.1,mL/L,Pepacton,Non-City Owned,NY0261521
G-2000054-05,PFTP,,1/8/2020,,12:45,Ammonia (as NH3),Done,<0.20,mg/L,Pepacton,Non-City Owned,NY0261521
K-2000051-03,Mt View TC,,1/8/2020,,9:25,"Solids, Settleable",Cancel,Cancel,mL/L,Mountain View,Non-City Owned,NY0263052
K-2000051-03,Mt View TC,,1/8/2020,,9:25,Ammonia (as NH3),Cancel,Cancel,mg/L,Mountain View,Non-City Owned,NY0263052
K-2000051-04,Hunter WTP,,1/8/2020,,10:08,"Solids, Settleable",Done,<0.1,mL/L,Hunter WTP,Non-City Owned,NY0241075
K-2000051-04,Hunter WTP,,1/8/2020,,10:08,Ammonia (as NH3),Done,<0.20,mg/L,Hunter WTP,Non-City Owned,NY0241075
E-2000024-01,KENT NURSING HOME,,1/8/2020,,11:32,"Solids, Settleable",Done,<0.1,mL/L,,Non-City Owned,NY0028924
E-2000024-01,KENT NURSING HOME,,1/8/2020,,11:32,Ammonia (as NH3),Done,<0.30,mg/L,,Non-City Owned,NY0028924
E-2000024-03,CLEAR POOL CAMP,,1/8/2020,,,"Solids, Settleable",Cancel,Cancel,mL/L,,Non-City Owned,NY0098621
E-2000024-03,CLEAR POOL CAMP,,1/8/2020,,,Ammonia (as NH3),Cancel,Cancel,mg/L,,Non-City Owned,NY0098621
E-2000024-06,MAHOPAC STP EFF,1/8/2020,1/8/2020,4:00,10:00,Ammonia (as NH3),Failure,Error,mg/L,Mahopac STP,City Owned - Effluent,NY0026590
E-2000024-06,MAHOPAC STP EFF,1/8/2020,1/8/2020,4:00,10:00,Nitrate/Nitrite (as N),Failure,Error,mg/L,Mahopac STP,City Owned - Effluent,NY0026590
