OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,MonitoringLocationIdentifier,ResultIdentifier,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassInformationUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationUrl,ProviderName
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100913-733-pH D:2.1,2010-09-13,07:33:00,EST,31ISC2RS_WQX-E12,STORET-722673555,,,,pH,,7.5,None,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500-H+B,APHA,"4500 H+B ~ pH in Water by Potentiometry, pH Value in Water by Potentiometry Using a Standard Hydrogen Electrode",,,https://www.nemi.gov/methods/method_summary/4707/,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100628-740-Sal D:1,2010-06-28,07:40:00,EST,31ISC2RS_WQX-E12,STORET-722673626,,,,Salinity,,23.1,ppt,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520-B,APHA,2520 B ~ Salinity in Water- Electrical Conductivity Method,,,,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100830-741-Sal D:1,2010-08-30,07:41:00,EST,31ISC2RS_WQX-E12,STORET-722674204,,,,Salinity,,26.8,ppt,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520-B,APHA,2520 B ~ Salinity in Water- Electrical Conductivity Method,,,,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-LISS09132010E12pH1,2010-09-13,07:34:00,EST,31ISC2RS_WQX-E12,STORET-94590526,,,,pH,,7.5,None,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-LISS07062010E12DO3,2010-07-06,07:14:00,EST,31ISC2RS_WQX-E12,STORET-94589579,,,,Dissolved oxygen (DO),,7.3,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100802-726-Dis D:4.6,2010-08-02,07:26:00,EST,31ISC2RS_WQX-E12,STORET-722672393,,,,Dissolved oxygen (DO),,6.2,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.1,USEPA,Dissolved Oxygen Using an ISE,,,https://www.nemi.gov/methods/method_summary/5252/,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100816-859-Dis D:4,2010-08-16,08:59:00,EST,31ISC2RS_WQX-E12,STORET-722672539,,,,Dissolved oxygen (DO),,2.6,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.1,USEPA,Dissolved Oxygen Using an ISE,,,https://www.nemi.gov/methods/method_summary/5252/,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-LISS08302010E12DO1,2010-08-30,07:41:00,EST,31ISC2RS_WQX-E12,STORET-94590090,,,,Dissolved oxygen (DO),,3.4,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-LISS07062010E12Salinity3,2010-07-06,07:14:00,EST,31ISC2RS_WQX-E12,STORET-94591650,,,,"Temperature, water",,21.4,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100706-715-pH D:3,2010-07-06,07:15:00,EST,31ISC2RS_WQX-E12,STORET-722672899,,,,pH,,8.1,None,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500-H+B,APHA,"4500 H+B ~ pH in Water by Potentiometry, pH Value in Water by Potentiometry Using a Standard Hydrogen Electrode",,,https://www.nemi.gov/methods/method_summary/4707/,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100907-723-Tem D:1.8,2010-09-07,07:23:00,EST,31ISC2RS_WQX-E12,STORET-722675872,,,,"Temperature, water",,23.1,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.1,USEPA,Temperature,,,https://www.nemi.gov/methods/method_summary/5216/,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100719-722-Dis D:2.1,2010-07-19,07:22:00,EST,31ISC2RS_WQX-E12,STORET-722672251,,,,Dissolved oxygen (DO),,5.5,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.1,USEPA,Dissolved Oxygen Using an ISE,,,https://www.nemi.gov/methods/method_summary/5252/,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100913-734-Tem D:1,2010-09-13,07:34:00,EST,31ISC2RS_WQX-E12,STORET-722675945,,,,"Temperature, water",,20.7,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.1,USEPA,Temperature,,,https://www.nemi.gov/methods/method_summary/5216/,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100907-723-Sal D:1.8,2010-09-07,07:23:00,EST,31ISC2RS_WQX-E12,STORET-722674279,,,,Salinity,,27.3,ppt,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520-B,APHA,2520 B ~ Salinity in Water- Electrical Conductivity Method,,,,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100913-732-Tem D:4,2010-09-13,07:32:00,EST,31ISC2RS_WQX-E12,STORET-722675943,,,,"Temperature, water",,20.7,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.1,USEPA,Temperature,,,https://www.nemi.gov/methods/method_summary/5216/,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100913-733-Tem D:2.1,2010-09-13,07:33:00,EST,31ISC2RS_WQX-E12,STORET-722675944,,,,"Temperature, water",,20.7,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.1,USEPA,Temperature,,,https://www.nemi.gov/methods/method_summary/5216/,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-LISS08022010E12pH1,2010-08-02,07:28:00,EST,31ISC2RS_WQX-E12,STORET-94590417,,,,pH,,7.3,None,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100706-716-Dis D:1,2010-07-06,07:16:00,EST,31ISC2RS_WQX-E12,STORET-722672104,,,,Dissolved oxygen (DO),,12.9,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.1,USEPA,Dissolved Oxygen Using an ISE,,,https://www.nemi.gov/methods/method_summary/5252/,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-LISS09132010E12Salinity3,2010-09-13,07:32:00,EST,31ISC2RS_WQX-E12,STORET-94592310,,,,"Temperature, water",,20.7,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100628-738-Sal D:2.1,2010-06-28,07:38:00,EST,31ISC2RS_WQX-E12,STORET-722673625,,,,Salinity,,23,ppt,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520-B,APHA,2520 B ~ Salinity in Water- Electrical Conductivity Method,,,,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100809-713-pH D:3.4,2010-08-09,07:13:00,EST,31ISC2RS_WQX-E12,STORET-722673264,,,,pH,,7.5,None,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500-H+B,APHA,"4500 H+B ~ pH in Water by Potentiometry, pH Value in Water by Potentiometry Using a Standard Hydrogen Electrode",,,https://www.nemi.gov/methods/method_summary/4707/,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100719-721-Tem D:4.6,2010-07-19,07:21:00,EST,31ISC2RS_WQX-E12,STORET-722675435,,,,"Temperature, water",,22.8,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.1,USEPA,Temperature,,,https://www.nemi.gov/methods/method_summary/5216/,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-LISS08302010E12Salinity2,2010-08-30,07:40:00,EST,31ISC2RS_WQX-E12,STORET-94591126,,,,Salinity,,26.8,ppt,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-LISS09072010E12DO1,2010-09-07,07:24:00,EST,31ISC2RS_WQX-E12,STORET-94590161,,,,Dissolved oxygen (DO),,3.9,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-LISS09072010E12Salinity3,2010-09-07,07:22:00,EST,31ISC2RS_WQX-E12,STORET-94592234,,,,"Temperature, water",,23.0,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100809-715-pH D:1,2010-08-09,07:15:00,EST,31ISC2RS_WQX-E12,STORET-722673266,,,,pH,,7.5,None,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500-H+B,APHA,"4500 H+B ~ pH in Water by Potentiometry, pH Value in Water by Potentiometry Using a Standard Hydrogen Electrode",,,https://www.nemi.gov/methods/method_summary/4707/,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100816-900-pH D:1.8,2010-08-16,09:00:00,EST,31ISC2RS_WQX-E12,STORET-722673336,,,,pH,,7.4,None,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500-H+B,APHA,"4500 H+B ~ pH in Water by Potentiometry, pH Value in Water by Potentiometry Using a Standard Hydrogen Electrode",,,https://www.nemi.gov/methods/method_summary/4707/,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100712-724-pH D:1,2010-07-12,07:24:00,EST,31ISC2RS_WQX-E12,STORET-722672972,,,,pH,,7.4,None,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500-H+B,APHA,"4500 H+B ~ pH in Water by Potentiometry, pH Value in Water by Potentiometry Using a Standard Hydrogen Electrode",,,https://www.nemi.gov/methods/method_summary/4707/,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-LISS06282010E12Salinity1,2010-06-28,07:40:00,EST,31ISC2RS_WQX-E12,STORET-94591584,,,,"Temperature, water",,22.2,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100830-741-Dis D:1,2010-08-30,07:41:00,EST,31ISC2RS_WQX-E12,STORET-722672612,,,,Dissolved oxygen (DO),,3.4,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.1,USEPA,Dissolved Oxygen Using an ISE,,,https://www.nemi.gov/methods/method_summary/5252/,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100809-713-Sal D:3.4,2010-08-09,07:13:00,EST,31ISC2RS_WQX-E12,STORET-722674060,,,,Salinity,,27.6,ppt,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520-B,APHA,2520 B ~ Salinity in Water- Electrical Conductivity Method,,,,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-LISS07272010E12Salinity1,2010-07-27,07:27:00,EST,31ISC2RS_WQX-E12,STORET-94591872,,,,"Temperature, water",,23.4,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-LISS07122010E12Salinity2,2010-07-12,07:23:00,EST,31ISC2RS_WQX-E12,STORET-94591725,,,,"Temperature, water",,23.7,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-LISS07192010E12Salinity3,2010-07-19,07:21:00,EST,31ISC2RS_WQX-E12,STORET-94591798,,,,"Temperature, water",,22.8,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-LISS08022010E12DO2,2010-08-02,07:27:00,EST,31ISC2RS_WQX-E12,STORET-94589873,,,,Dissolved oxygen (DO),,5.7,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100712-723-Tem D:1.5,2010-07-12,07:23:00,EST,31ISC2RS_WQX-E12,STORET-722675360,,,,"Temperature, water",,23.7,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.1,USEPA,Temperature,,,https://www.nemi.gov/methods/method_summary/5216/,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100628-738-Dis D:2.1,2010-06-28,07:38:00,EST,31ISC2RS_WQX-E12,STORET-722672033,,,,Dissolved oxygen (DO),,7.4,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.1,USEPA,Dissolved Oxygen Using an ISE,,,https://www.nemi.gov/methods/method_summary/5252/,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100802-727-pH D:2.1,2010-08-02,07:27:00,EST,31ISC2RS_WQX-E12,STORET-722673190,,,,pH,,7.3,None,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500-H+B,APHA,"4500 H+B ~ pH in Water by Potentiometry, pH Value in Water by Potentiometry Using a Standard Hydrogen Electrode",,,https://www.nemi.gov/methods/method_summary/4707/,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-LISS08092010E12Salinity3,2010-08-09,07:13:00,EST,31ISC2RS_WQX-E12,STORET-94592017,,,,"Temperature, water",,24.3,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-LISS07272010E12Salinity2,2010-07-27,07:26:00,EST,31ISC2RS_WQX-E12,STORET-94591873,,,,"Temperature, water",,23.3,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-LISS07122010E12Salinity3,2010-07-12,07:22:00,EST,31ISC2RS_WQX-E12,STORET-94591726,,,,"Temperature, water",,22.8,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100907-722-pH D:3,2010-09-07,07:22:00,EST,31ISC2RS_WQX-E12,STORET-722673482,,,,pH,,7.4,None,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500-H+B,APHA,"4500 H+B ~ pH in Water by Potentiometry, pH Value in Water by Potentiometry Using a Standard Hydrogen Electrode",,,https://www.nemi.gov/methods/method_summary/4707/,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100712-723-pH D:1.5,2010-07-12,07:23:00,EST,31ISC2RS_WQX-E12,STORET-722672971,,,,pH,,7.4,None,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500-H+B,APHA,"4500 H+B ~ pH in Water by Potentiometry, pH Value in Water by Potentiometry Using a Standard Hydrogen Electrode",,,https://www.nemi.gov/methods/method_summary/4707/,,,,,,,,,,,,,,,,STORET
31ISC2RS_WQX,Interstate Environmental Commission,31ISC2RS_WQX-E12:20100706-716-Sal D:1,2010-07-06,07:16:00,EST,31ISC2RS_WQX-E12,STORET-722673696,,,,Salinity,,23.6,ppt,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520-B,APHA,2520 B ~ Salinity in Water- Electrical Conductivity Method,,,,,,,,,,,,,,,,,,,STORET
